 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,Major,Minor,Angle,Circ.,Feret,IntDen,Median,RawIntDen,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
125,fields:fld0088,2.100E1,8.171E1,3.997E1,1.300E1,1.300E1,1.330E2,1.165E3,1.029E3,1.165E3,1.029E3,1.614E1,5.856E0,4.566E0,1.758E1,1.000E0,6.708E0,1.716E3,9.900E1,1.716E3,8.800E1,1.162E3,1.030E3,2.657E1,5.000E0,1.282E0,7.797E-1,8.400E-1
126,fields:fld0089,2.200E1,7.477E1,4.159E1,1.200E1,1.200E1,1.440E2,7.066E2,2.697E2,7.067E2,2.699E2,1.649E1,5.469E0,5.122E0,5.631E1,1.000E0,6.403E0,1.645E3,8.400E1,1.645E3,8.900E1,7.050E2,2.670E2,1.287E2,5.000E0,1.068E0,9.366E-1,9.362E-1
127,fields:fld0089,2.200E1,6.118E1,3.383E1,4.300E1,1.600E1,1.260E2,1.750E2,5.433E2,1.750E2,5.433E2,1.673E1,5.832E0,4.803E0,1.964E1,9.880E-1,6.708E0,1.346E3,6.300E1,1.346E3,8.900E1,1.720E2,5.450E2,2.657E1,5.000E0,1.214E0,8.237E-1,8.627E-1
128,fields:fld0089,2.100E1,7.048E1,3.569E1,2.800E1,1.900E1,1.250E2,1.006E3,1.566E3,1.007E3,1.565E3,1.531E1,5.171E0,5.171E0,0.000E0,1.000E0,5.831E0,1.480E3,7.100E1,1.480E3,8.900E1,1.005E3,1.563E3,1.210E2,5.000E0,1.000E0,1.000E0,9.130E-1
129,fields:fld0090,1.000E1,4.030E1,3.440E1,1.400E1,1.400E1,1.080E2,1.457E3,2.880E2,1.458E3,2.883E2,1.049E1,4.111E0,3.097E0,9.000E1,1.000E0,4.472E0,4.030E2,2.400E1,4.030E2,9.000E1,1.456E3,2.860E2,1.166E2,3.000E0,1.327E0,7.534E-1,9.091E-1
130,fields:fld0090,2.000E1,9.645E1,3.943E1,1.700E1,1.700E1,1.430E2,1.427E3,8.369E2,1.427E3,8.370E2,1.590E1,5.908E0,4.310E0,1.746E2,9.942E-1,6.403E0,1.929E3,1.110E2,1.929E3,9.000E1,1.424E3,8.350E2,1.413E2,4.000E0,1.371E0,7.296E-1,9.091E-1
131,fields:fld0090,2.200E1,7.623E1,3.840E1,1.090E2,1.900E1,1.360E2,1.855E2,1.585E3,1.857E2,1.585E3,1.649E1,5.508E0,5.085E0,2.236E1,1.000E0,6.403E0,1.677E3,8.400E1,1.677E3,9.000E1,1.830E2,1.583E3,1.413E2,5.000E0,1.083E0,9.232E-1,9.362E-1
132,fields:fld0092,2.000E1,7.300E1,3.759E1,7.700E1,1.800E1,1.350E2,2.240E1,3.354E2,2.252E1,3.356E2,1.531E1,5.251E0,4.849E0,6.343E1,1.000E0,5.831E0,1.460E3,7.700E1,1.460E3,9.200E1,2.100E1,3.330E2,1.210E2,5.000E0,1.083E0,9.235E-1,8.889E-1
133,fields:fld0093,2.500E1,7.404E1,3.921E1,7.800E1,1.300E1,1.380E2,2.129E2,1.299E3,2.131E2,1.299E3,1.873E1,6.045E0,5.266E0,1.572E2,8.957E-1,7.211E0,1.851E3,7.500E1,1.851E3,9.300E1,2.100E2,1.297E3,1.463E2,5.000E0,1.148E0,8.711E-1,8.929E-1
134,fields:fld0094,2.400E1,6.983E1,4.544E1,2.500E1,1.200E1,1.380E2,1.823E3,1.605E2,1.823E3,1.606E2,1.931E1,6.217E0,4.916E0,3.167E1,8.085E-1,7.211E0,1.676E3,7.100E1,1.676E3,9.400E1,1.820E3,1.620E2,3.369E1,5.000E0,1.265E0,7.907E-1,8.727E-1
